Geolocation,Level of Education,Sex,Year,Completion_Rate,Cohort_Survival_Rate,Gender_Parity_Index,Participation_Rate
Region XII,Junior High,Female,2004,82.7,90.0,1.1,0.0
Region XII,Junior High,Male,2004,71.0,80.4,1.1,0.0
Region XII,Senior High,Female,2004,0.0,0.0,0.0,0.0
Region XII,Senior High,Male,2004,0.0,0.0,0.0,0.0
Region XIII,Elementary,Female,2004,68.1,68.6,0.9,0.0
Region XIII,Elementary,Male,2004,52.0,53.3,0.9,0.0
Region XIII,Junior High,Female,2004,76.3,78.4,1.1,0.0
Region XIII,Junior High,Male,2004,67.3,70.6,1.1,0.0
Region XIII,Senior High,Female,2004,0.0,0.0,0.0,0.0
Region XIII,Senior High,Male,2004,0.0,0.0,0.0,0.0
BARMM,Elementary,Female,2004,33.4,38.0,1.1,0.0
BARMM,Elementary,Male,2004,29.2,33.3,1.1,0.0
BARMM,Junior High,Female,2004,44.0,52.4,1.2,0.0
BARMM,Junior High,Male,2004,46.8,57.3,1.2,0.0
BARMM,Senior High,Female,2004,0.0,0.0,0.0,0.0
BARMM,Senior High,Male,2004,0.0,0.0,0.0,0.0
NCR,Elementary,Female,2005,85.0,86.0,0.9,0.0
NCR,Elementary,Male,2005,80.2,81.2,0.9,0.0
NCR,Junior High,Female,2005,69.9,75.8,1.0,0.0
NCR,Junior High,Male,2005,61.8,67.9,1.0,0.0
NCR,Senior High,Female,2005,0.0,0.0,0.0,0.0
NCR,Senior High,Male,2005,0.0,0.0,0.0,0.0
CAR,Elementary,Female,2005,73.2,74.7,0.9,0.0
CAR,Elementary,Male,2005,62.4,64.5,0.9,0.0
CAR,Junior High,Female,2005,71.4,75.6,1.1,0.0
CAR,Junior High,Male,2005,54.6,59.9,1.1,0.0
CAR,Senior High,Female,2005,0.0,0.0,0.0,0.0
CAR,Senior High,Male,2005,0.0,0.0,0.0,0.0
Region I,Elementary,Female,2005,90.1,91.3,0.9,0.0
Region I,Elementary,Male,2005,81.3,82.8,0.9,0.0
Region I,Junior High,Female,2005,78.4,81.6,1.0,0.0
Region I,Junior High,Male,2005,65.9,71.1,1.0,0.0
Region I,Senior High,Female,2005,0.0,0.0,0.0,0.0
Region I,Senior High,Male,2005,0.0,0.0,0.0,0.0
Region II,Elementary,Female,2005,82.9,83.5,0.9,0.0
Region II,Elementary,Male,2005,70.7,71.8,0.9,0.0
Region II,Junior High,Female,2005,74.6,77.2,1.1,0.0
Region II,Junior High,Male,2005,62.9,66.9,1.1,0.0
Region II,Senior High,Female,2005,0.0,0.0,0.0,0.0
Region II,Senior High,Male,2005,0.0,0.0,0.0,0.0
Region III,Elementary,Female,2005,84.9,86.6,0.9,0.0
Region III,Elementary,Male,2005,76.0,78.0,0.9,0.0
Region III,Junior High,Female,2005,76.9,82.7,1.0,0.0
Region III,Junior High,Male,2005,63.7,70.9,1.0,0.0
Region III,Senior High,Female,2005,0.0,0.0,0.0,0.0
Region III,Senior High,Male,2005,0.0,0.0,0.0,0.0
Region IV-A,Elementary,Female,2005,82.3,83.5,0.9,0.0
Region IV-A,Elementary,Male,2005,72.3,73.6,0.9,0.0
Region IV-A,Junior High,Female,2005,75.8,79.7,1.0,0.0
Region IV-A,Junior High,Male,2005,61.2,66.9,1.0,0.0
Region IV-A,Senior High,Female,2005,0.0,0.0,0.0,0.0
Region IV-A,Senior High,Male,2005,0.0,0.0,0.0,0.0
Region IV-B,Elementary,Female,2005,73.8,75.8,0.9,0.0
Region IV-B,Elementary,Male,2005,61.4,64.2,0.9,0.0
Region IV-B,Junior High,Female,2005,58.8,63.2,1.1,0.0
Region IV-B,Junior High,Male,2005,46.6,51.9,1.1,0.0
